Title,Area/Property Name,Address,City,State,Unit Type,Bedroom Count,Bathroom Count,Price/Month (RM),Price/Year (RM),Size (sqft),Furnishing Status,Property Type,No Deposit,Pet Friendly,Listing Ref,URL,_raw_id
"Duta Ria, Dutamas","Duta Ria, Dutamas","Jalan Dutamas Raya, Taman Segambut Sppk, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2500,30000,1290,Partially Furnished,HIGHRISE,True,True,KJKFQCSB,https://speedhome.com/details/duta-ria-dutamas-kjkfqcsb,301542
"Zeta Deskye Residence, Kuala Lumpur","Zeta Deskye Residence, Kuala Lumpur","Jalan 1/12D, Kampung Batu Muda, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1700,20400,1037,Partially Furnished,HIGHRISE,True,False,EGMAKZYH,https://speedhome.com/details/zeta-deskyealam-saujana-condominium-egmakzyh,301538
"The Birch, Kuala Lumpur","The Birch, Kuala Lumpur","No 35, Jalan Kasipillay, Off Jalan Ipoh 51200 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,4BR,4,2,2500,30000,983,Partially Furnished,HIGHRISE,True,True,ONHTEWGN,https://speedhome.com/details/the-birch-kuala-lumpur-onhtewgn,301533
"The ERA, Segambut","The ERA, Segambut","Jalan Segambut, 51200, Kuala Lumpur, Wilayah Persekutuan, 51200 Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,1800,21600,300,Fully Furnished,HIGHRISE,True,True,ISJBCZEH,https://speedhome.com/details/the-era-segambut-isjbczeh,301438
"Residensi Max, Kuala Lumpur","Residensi Max, Kuala Lumpur","B-31-06,RESIDENSI MAX KOLAM AIR NO.61, JALAN KOLAM AIR 6 KASIPILLAY 51200 KUALA LUMPUR WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,901,Partially Furnished,HIGHRISE,True,False,VPHIUHAI,https://speedhome.com/details/residensi-max-kuala-lumpur-vphiuhai,301255
"Laman Suria, Mont Kiara","Laman Suria, Mont Kiara","Jalan Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2900,34800,1034,Fully Furnished,HIGHRISE,True,True,UHQVFMFJ,https://speedhome.com/details/laman-suria-mont-kiara-uhqvfmfj,301111
"Maxim Citylights, Sentul","Maxim Citylights, Sentul","51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,1009,Unfurnished,HIGHRISE,True,True,VYCTXWZE,https://speedhome.com/details/maxim-citylights-sentul-vyctxwze,301073
"The ERA, Segambut","The ERA, Segambut","ERA SEGAMBUT, NO. 208, JALAN SEGAMBUT, SEGAMBUT, 51200 KUALA LUMPUR, WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,2000,24000,280,Partially Furnished,HIGHRISE,True,True,DSFSVHFE,https://speedhome.com/details/the-era-segambut-dsfsvhfe,300980
Riana dutamas savio,Riana dutamas savio,"RESIDENSI RIANA DUTAMAS 1 NO 346, JLN SEGAMBUT SEGAMBUT 51200 KUALA LUMPUR WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2400,28800,904,Fully Furnished,HIGHRISE,True,False,SRAETFWB,https://speedhome.com/details/riana-dutamas-savio-sraetfwb,300926
"Savvy Riana Dutamas 2, Segambut","Savvy Riana Dutamas 2, Segambut","Savvy @ Residensi Riana Dutamas 2, Jalan Segambut, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2700,32400,1203,Partially Furnished,HIGHRISE,True,False,CDGJEMUA,https://speedhome.com/details/savvy-riana-dutamas-2-segambut-cdgjemua,300199
